Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeAboveTerr,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,timeToHome,missionItemIndex,headingToNextWP,distanceToNextWP,headingToHome,distanceToGCS,hobbs,throttlePct,imuTemp,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentUTCTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,efi.health,efi.ecuIndex,efi.rpm,efi.fuelConsumed,efi.fuelFlow,efi.engineLoad,efi.sparkTime,efi.throttlePos,efi.baroPress,efi.intakePress,efi.intakeTemp,efi.cylinderTemp,efi.ignTime,efi.exGasTemp,efi.injTime,efi.throttleOut,efi.ptComp,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,generator.status,generator.genSpeed,generator.batteryCurrent,generator.loadCurrent,generator.powerGenerated,generator.busVoltage,generator.batCurrentSetpoint,generator.rectifierTemp,generator.genTemp,generator.runtime,generator.timeMaintenance,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,rpm.rpm1,rpm.rpm2,rpm.rpm3,rpm.rpm4,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2025-10-30 11:49:38.836,0.0,-0.4,1,0.0,-0.0,-0.0,0.0,0.0,0.000,-0.0,-0.0,-22.3,-378.3,-0.000,0.000,0.000,0.000,0.0,00:00:00,0.0,227.1,1,--.--,0,--.--,--.--,0000:00:00,0,0,0,1,1,16.20,-1.00,0,--.--,100,--.--,--:--:--,1,-16.20,11:49:38,10:49:38,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,12.000,0.000,12.000,0.000,1.030,1.000,1.030,1.000,16.172,16.172,16.172,16.172,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.00,0.00,0.07,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793644,8.9422160,32TMQ 95412 36226,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,2.0,-0.1,2.5,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:39.830,0.0,-0.4,1,0.0,-0.0,-0.0,0.0,0.0,0.000,-0.0,-0.0,-22.3,-378.3,-0.000,0.000,0.000,0.000,0.0,00:00:00,0.0,0.0,1,--.--,0,--.--,--.--,0000:00:00,19,0,0,1,1,16.17,-1.00,0,--.--,100,--.--,--:--:--,1,-16.17,11:49:39,10:49:39,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,1194.000,1122.000,1188.000,1128.000,3.985,3.805,3.970,3.820,16.142,16.142,16.142,16.142,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.00,0.00,0.02,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793644,8.9422160,32TMQ 95412 36226,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.8,--.--,--.--,--.--,--.--,0.0,0.0,2.0,-0.1,2.5,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:40.830,0.0,-0.4,1,0.0,-0.0,-0.0,0.0,0.0,0.000,0.0,0.0,-22.3,-378.3,-0.000,0.000,0.000,0.000,0.0,00:00:01,0.0,29.5,1,--.--,0,--.--,--.--,0000:00:00,38,0,0,1,1,16.17,-1.00,0,--.--,100,--.--,--:--:--,1,-16.17,11:49:40,10:49:40,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,2388.000,2238.000,2382.000,2244.000,6.970,6.595,6.955,6.610,16.112,16.112,16.112,16.112,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.00,0.00,0.02,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793644,8.9422160,32TMQ 95412 36226,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2,--.--,--.--,--.--,--.--,0.0,0.0,2.0,-0.1,2.5,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:41.831,-0.0,0.5,1,0.1,-1.2,-0.0,0.0,0.0,0.000,0.1,0.0,-22.2,-378.3,0.009,0.000,0.000,0.000,0.0,00:00:02,0.0,0.0,1,--.--,0,--.--,--.--,0000:00:00,52,0,0,1,1,16.11,-1.00,0,--.--,100,--.--,--:--:--,1,-16.11,11:49:41,10:49:41,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3126.000,3138.000,3126.000,3132.000,8.815,8.845,8.815,8.830,16.082,16.082,16.082,16.082,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.02,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793644,8.9422160,32TMQ 95412 36226,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1,-0.0,-0.0,-0.0,0.0,0.0,-0.7,--.--,--.--,--.--,--.--,0.0,-0.0,2.0,-0.0,-0.0,0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:42.830,0.0,-0.6,1,-0.1,-0.5,-0.0,0.0,0.0,0.000,0.8,0.4,-21.8,-378.3,0.419,0.000,0.000,0.000,0.0,00:00:03,0.0,1.0,1,--.--,0,--.--,--.--,0000:00:00,54,0,0,1,1,16.11,-1.00,0,--.--,100,--.--,--:--:--,1,-16.11,11:49:42,10:49:42,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3288.000,3288.000,3288.000,3288.000,9.220,9.220,9.220,9.220,16.052,16.052,16.052,16.052,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.02,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793640,8.9422160,32TMQ 95412 36226,0.0,0.0,183.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.0,-0.4,-0.0,-0.0,-0.8,-0.0,-0.0,-0.4,0.0,0.0,-1.2,--.--,--.--,--.--,--.--,0.0,-0.8,1.9,0.0,-1.8,0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:43.837,0.0,-0.7,1,0.1,0.1,-0.0,0.0,0.0,0.000,1.3,1.5,-20.8,-378.3,1.491,0.000,0.000,0.000,0.0,00:00:05,0.1,3.1,1,--.--,0,--.--,--.--,0000:00:00,51,0,0,1,1,16.05,-1.00,0,--.--,100,--.--,--:--:--,1,-16.05,11:49:43,10:49:43,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3096.000,3090.000,3096.000,3090.000,8.740,8.725,8.740,8.725,16.022,16.022,16.022,16.022,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.01,0.01,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793637,8.9422159,32TMQ 95412 36226,0.0,0.0,0.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.0,-1.5,0.0,-0.0,-1.3,-0.0,-0.0,-1.5,0.1,0.0,-1.5,--.--,--.--,--.--,--.--,0.0,-0.8,1.9,0.0,-0.4,-0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:44.838,0.1,-0.3,2,0.2,0.4,-0.0,0.0,0.0,0.000,1.4,2.9,-19.4,-376.8,2.863,0.000,0.000,0.000,0.0,00:00:06,0.0,0.8,1,--.--,0,--.--,--.--,0000:00:00,50,0,0,1,1,16.05,-1.00,0,--.--,100,--.--,--:--:--,1,-16.05,11:49:44,10:49:44,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3054.000,3054.000,3054.000,3054.000,8.635,8.635,8.635,8.635,15.992,15.992,15.992,15.992,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.01,0.01,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793641,8.9422158,32TMQ 95412 36226,0.0,0.0,350.0,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.0,-2.9,0.0,-0.0,-1.4,-0.0,-0.0,-2.9,0.0,0.0,-1.5,--.--,--.--,--.--,--.--,0.1,-0.4,2.1,0.2,0.3,0.0,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:45.838,0.1,0.0,1,-0.1,0.2,0.1,0.0,0.0,0.000,1.5,2.9,-19.4,-375.4,3.970,0.000,0.000,0.000,0.0,00:00:07,0.0,0.2,1,--.--,0,--.--,--.--,0000:00:00,50,0,0,1,1,16.05,-1.00,0,--.--,100,--.--,--:--:--,1,-16.05,11:49:45,10:49:45,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3054.000,3054.000,3054.000,3054.000,8.635,8.635,8.635,8.635,15.992,15.992,15.992,15.992,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.01,0.01,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793645,8.9422157,32TMQ 95412 36226,0.0,0.0,3.4,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,-0.0,-4.3,0.0,0.0,-1.5,-0.0,-0.0,-4.4,-0.0,0.0,-1.5,--.--,--.--,--.--,--.--,0.1,0.0,2.0,-0.1,0.3,0.2,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:46.837,0.0,0.0,1,0.0,-0.3,0.2,0.0,0.0,0.000,1.5,4.4,-17.9,-373.9,5.487,0.000,0.000,0.000,0.0,00:00:08,0.0,3.6,1,--.--,0,--.--,--.--,0000:00:00,50,0,0,1,1,15.99,-1.00,0,--.--,100,--.--,--:--:--,1,-15.99,11:49:46,10:49:46,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3048.000,3048.000,3042.000,3042.000,8.620,8.620,8.605,8.605,15.962,15.962,15.962,15.962,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.01,1.05,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793648,8.9422159,32TMQ 95412 36226,0.0,0.0,87.7,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,-0.0,-5.8,-0.0,0.0,-1.5,-0.0,-0.0,-5.8,-0.0,0.0,-1.5,--.--,--.--,--.--,--.--,0.1,0.0,2.0,-0.0,-0.2,0.2,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-10-30 11:49:47.839,-0.1,-0.3,1,-0.1,-0.3,0.5,0.0,0.0,0.000,1.5,7.4,-14.9,-372.4,7.388,0.000,0.000,0.000,0.0,00:00:09,0.0,0.8,1,--.--,0,--.--,--.--,0000:00:00,50,0,0,1,1,15.93,-1.00,0,--.--,96,--.--,--:--:--,1,-15.93,11:49:47,10:49:47,10/30/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,3042.000,3042.000,3036.000,3036.000,8.605,8.605,8.590,8.590,15.902,15.902,15.902,15.902,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.01,1.02,--.--,0.00,0.08,0.08,9223372036854775808,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,44.5793645,8.9422162,32TMQ 95412 36226,0.0,0.0,162.9,3,15,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.0,0.0,-7.4,-0.0,0.0,-1.5,-0.0,-0.0,-7.4,-0.0,-0.0,-1.5,--.--,--.--,--.--,--.--,-0.1,-0.3,2.0,-0.2,-0.3,0.6,0.00,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
