timestamp,latitude,longitude,altitude,vx,vy,vz
1759417421.806,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417421.906,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.006,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.106,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.206,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.306,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.406,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.506,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.606,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.706,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.806,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417422.906,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.006,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.106,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.206,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.306,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.406,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.506,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.606,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.706,44.436876,8.884017,0.0,0.0,0.0,0.0
1759417423.806,44.436876,8.884017,0.0,0.0,0.0,-0.01
1759417423.906,44.436876,8.884017,0.0,0.0,0.0,-0.03
1759417424.006,44.436876,8.884017,0.0,0.0,0.0,-0.05
1759417424.106,44.436876,8.884017,0.0,0.0,0.0,-0.07
1759417424.206,44.436876,8.884017,0.0,0.0,0.0,-0.09
1759417424.306,44.436876,8.884017,0.0,0.0,0.0,-0.11
1759417424.406,44.436876,8.884017,0.0,0.0,0.0,-0.13
1759417424.506,44.436876,8.884017,0.0,0.0,0.0,-0.15
1759417424.606,44.436876,8.884017,0.0,0.0,0.0,-0.17
1759417424.706,44.436876,8.884017,0.0,0.0,0.0,-0.19
1759417424.806,44.436876,8.884017,0.03,0.0,0.0,-0.25
1759417424.906,44.436876,8.884017,0.08,0.0,0.0,-0.32
1759417425.006,44.436876,8.884017,0.13,0.0,0.0,-0.39
1759417425.106,44.436876,8.884017,0.18,0.0,0.0,-0.46
1759417425.206,44.436876,8.884017,0.23,0.0,0.0,-0.53
1759417425.306,44.436876,8.884017,0.28,0.0,0.0,-0.6
1759417425.406,44.436876,8.884017,0.33,0.0,0.0,-0.67
1759417425.506,44.436876,8.884017,0.38,0.0,0.0,-0.74
1759417425.606,44.436876,8.884017,0.43,0.0,0.0,-0.81
1759417425.706,44.436876,8.884017,0.48,0.0,0.0,-0.88
1759417425.806,44.436876,8.884017,0.58,0.0,0.0,-0.93
1759417425.906,44.436876,8.884017,0.7,0.0,0.0,-0.98
1759417426.006,44.436876,8.884017,0.82,0.0,0.0,-1.03
1759417426.106,44.436876,8.884017,0.94,0.0,0.0,-1.08
1759417426.206,44.436876,8.884017,1.06,0.0,0.0,-1.13
1759417426.306,44.436876,8.884017,1.18,0.0,0.0,-1.18
1759417426.406,44.436876,8.884017,1.3,0.0,0.0,-1.23
1759417426.506,44.436876,8.884017,1.42,0.0,0.0,-1.28
1759417426.606,44.436876,8.884017,1.54,0.0,0.0,-1.33
1759417426.706,44.436876,8.884017,1.66,0.0,0.0,-1.38
1759417426.806,44.436876,8.884017,1.8,0.0,0.0,-1.4
1759417426.906,44.436876,8.884017,1.93,0.0,0.0,-1.4
1759417427.006,44.436876,8.884017,2.07,0.0,0.0,-1.4
1759417427.106,44.436876,8.884017,2.21,0.0,0.0,-1.4
1759417427.206,44.436876,8.884017,2.35,0.0,0.0,-1.4
1759417427.306,44.436876,8.884017,2.49,0.0,0.0,-1.4
1759417427.406,44.436876,8.884017,2.63,0.0,0.0,-1.4
1759417427.506,44.436876,8.884017,2.77,0.0,0.0,-1.4
1759417427.606,44.436876,8.884017,2.91,0.0,0.0,-1.4
1759417427.706,44.436876,8.884017,3.05,0.0,0.0,-1.4
1759417427.806,44.436876,8.884017,3.2,0.0,0.0,-1.41
1759417427.906,44.436876,8.884017,3.35,0.0,0.0,-1.42
1759417428.006,44.436876,8.884017,3.5,0.0,0.0,-1.43
1759417428.106,44.436876,8.884017,3.65,0.0,0.0,-1.44
1759417428.206,44.436876,8.884017,3.8,0.0,0.0,-1.45
1759417428.306,44.436876,8.884017,3.95,0.0,0.0,-1.46
1759417428.406,44.436876,8.884017,4.1,0.0,0.0,-1.47
1759417428.506,44.436876,8.884017,4.25,0.0,0.0,-1.48
1759417428.606,44.436876,8.884017,4.4,0.0,0.0,-1.49
1759417428.706,44.436876,8.884017,4.55,0.0,0.0,-1.5
1759417428.806,44.436876,8.884017,4.7,0.0,0.0,-1.5
1759417428.906,44.436876,8.884017,4.86,0.0,0.0,-1.5
1759417429.006,44.436876,8.884017,5.02,0.0,0.0,-1.5
1759417429.106,44.436876,8.884017,5.18,0.0,0.0,-1.5
1759417429.206,44.436876,8.884017,5.34,0.0,0.0,-1.5
1759417429.306,44.436876,8.884017,5.5,0.0,0.0,-1.5
1759417429.406,44.436876,8.884017,5.65,0.0,0.0,-1.5
1759417429.506,44.436876,8.884017,5.81,0.0,0.0,-1.5
1759417429.606,44.436876,8.884017,5.97,0.0,0.0,-1.5
1759417429.706,44.436876,8.884017,6.13,0.0,0.0,-1.5
1759417429.806,44.436876,8.884017,6.28,0.0,0.0,-1.5
1759417429.906,44.436876,8.884017,6.44,0.0,0.0,-1.5
1759417430.006,44.436876,8.884017,6.59,0.0,0.0,-1.5
1759417430.106,44.436876,8.884017,6.74,0.0,0.0,-1.5
1759417430.206,44.436876,8.884017,6.89,0.0,0.0,-1.5
1759417430.306,44.436876,8.884017,7.04,0.0,0.0,-1.5
1759417430.406,44.436876,8.884017,7.2,0.0,0.0,-1.5
1759417430.506,44.436876,8.884017,7.35,0.0,0.0,-1.5
1759417430.606,44.436876,8.884017,7.5,0.0,0.0,-1.5
1759417430.706,44.436876,8.884017,7.65,0.0,0.0,-1.5
1759417430.806,44.436876,8.884017,7.8,0.0,0.0,-1.5
1759417430.906,44.436876,8.884017,7.95,0.0,0.0,-1.5
1759417431.006,44.436876,8.884017,8.1,0.0,0.0,-1.5
1759417431.106,44.436876,8.884017,8.25,0.0,0.0,-1.5
1759417431.206,44.436876,8.884017,8.39,0.0,0.0,-1.5
1759417431.306,44.436876,8.884017,8.54,0.0,0.0,-1.5
1759417431.406,44.436876,8.884017,8.69,0.0,0.0,-1.5
